Data,Hora,Valor_LDR,Valor_Umidade
2024-09-21,16:15:46,511,16
2024-09-21,16:15:56,488,15
2024-09-21,16:16:06,500,15
2024-09-21,16:16:16,499,16
2024-09-21,16:16:26,489,15
2024-09-21,16:16:36,497,16
2024-09-21,16:16:46,505,16
2024-09-21,16:16:56,503,16
2024-09-21,16:17:06,502,15
2024-09-21,16:17:16,501,16
2024-09-21,16:17:26,499,16
2024-09-21,16:17:36,497,16
2024-09-21,16:17:46,493,15
2024-09-21,16:17:56,495,16
2024-09-21,16:18:06,479,16
2024-09-21,16:18:16,493,15
2024-09-21,16:18:26,492,16
2024-09-21,16:18:36,490,16
2024-09-21,16:19:38,487,15
2024-09-21,16:19:45,486,15
2024-09-21,16:19:55,486,15
2024-09-21,16:20:05,485,15
2024-09-21,16:22:26,475,15
2024-09-21,16:22:31,475,16
2024-09-21,16:24:07,469,15
2024-09-21,16:24:13,469,15
2024-09-21,16:24:23,464,15
2024-09-21,16:24:33,460,15
2024-09-21,16:24:54,466,15
2024-09-21,16:30:02,461,15
2024-09-21,16:32:21,465,15
2024-09-21,16:32:56,467,15
2024-09-21,16:33:04,467,15
2024-09-21,16:33:14,468,15
2024-09-21,16:33:24,468,15
2024-09-21,16:34:45,470,15
2024-09-21,16:34:53,470,15
2024-09-21,16:35:03,465,15
2024-09-21,16:35:13,470,16
2024-09-21,16:35:23,471,15
2024-09-21,16:35:33,456,15
2024-09-21,16:35:43,470,16
2024-09-21,16:35:53,472,15
2024-09-21,16:36:03,469,15
2024-09-21,16:39:04,486,15
2024-09-21,16:39:11,473,16
2024-09-21,16:39:21,479,15
2024-09-21,16:39:31,470,16
2024-09-21,16:39:41,486,15
2024-09-21,16:39:51,468,15
2024-09-21,16:41:40,500,15
2024-09-21,16:41:47,479,15
2024-09-21,16:41:57,486,15
2024-09-21,16:42:07,481,16
2024-09-21,16:42:17,479,16
2024-09-21,16:42:27,470,16
2024-09-21,16:42:37,479,16
2024-09-21,16:42:47,476,16
2024-09-21,16:42:57,481,16
2024-09-21,16:43:07,490,16
2024-09-21,16:45:02,481,15
2024-09-21,16:45:04,474,16
2024-09-21,16:45:14,470,15
2024-09-21,16:47:53,495,15
2024-09-21,16:47:56,493,15
2024-09-21,16:48:06,479,16
2024-09-21,16:48:16,495,16
2024-09-21,16:48:26,494,16
2024-09-21,16:48:36,495,16
2024-09-21,16:48:46,498,16
2024-09-21,16:48:56,484,16
2024-09-21,16:49:06,485,15
2024-09-21,16:49:16,499,16
2024-09-21,16:49:26,498,16
2024-09-21,16:49:36,499,15
2024-09-21,16:49:46,498,16
2024-09-21,16:51:19,494,15
2024-09-21,16:51:26,470,15
2024-09-21,16:51:36,477,15
2024-09-21,16:51:46,489,16
2024-09-21,16:51:56,481,16
2024-09-21,16:52:06,484,16
2024-09-21,16:52:16,501,16
2024-09-21,16:52:58,493,15
2024-09-21,16:52:58,487,16
2024-09-21,16:53:11,485,15
2024-09-21,16:53:18,482,16
2024-09-21,16:53:40,478,15
2024-09-21,16:53:49,478,16
2024-09-21,16:56:54,476,15
2024-09-21,16:57:05,475,15
2024-09-21,16:57:25,468,15
2024-09-21,16:57:33,461,16
2024-09-21,16:57:43,455,15
2024-09-21,16:57:53,471,15
2024-09-21,16:58:10,468,15
2024-09-21,16:58:40,456,15
2024-09-21,16:58:48,470,16
2024-09-21,16:59:33,464,15
2024-09-21,16:59:37,461,15
2024-09-21,16:59:47,481,15
2024-09-21,16:59:57,469,15
2024-09-21,17:00:07,472,16
2024-09-21,17:00:17,467,16
2024-09-21,17:00:27,471,16
2024-09-21,17:00:37,490,15
2024-09-21,17:00:48,457,16
2024-09-21,17:00:58,463,15
2024-09-21,17:01:08,465,16
2024-09-21,17:01:18,482,15
2024-09-21,17:01:28,478,15
2024-09-21,17:01:38,481,16
2024-09-21,17:01:48,475,15
2024-09-21,17:01:58,470,15
2024-09-21,17:02:08,473,15
2024-09-21,17:02:18,457,16
2024-09-21,17:02:28,489,16
2024-09-21,17:02:38,473,15
2024-09-21,17:02:48,477,15
2024-09-21,17:02:58,467,16
2024-09-21,17:03:08,466,16
2024-09-21,17:03:18,465,15
2024-09-21,17:03:28,471,16
2024-09-21,17:03:38,470,15
2024-09-21,17:03:48,455,16
2024-09-21,17:03:58,453,15
2024-09-21,17:04:08,465,16
2024-09-21,17:04:18,462,15
2024-09-21,17:04:28,450,15
2024-09-21,17:04:38,451,16
2024-09-21,17:04:48,480,15
2024-09-21,17:04:58,454,15
2024-09-21,17:05:08,478,16
2024-09-21,17:05:18,484,16
2024-09-21,17:05:28,465,16
2024-09-21,17:05:38,467,16
2024-09-21,17:05:48,464,15
2024-09-21,17:06:08,442,14
2024-09-21,17:06:16,462,15
2024-09-21,17:06:26,483,15
2024-09-21,17:06:36,444,15
2024-09-21,17:06:46,445,16
2024-09-21,17:06:56,457,15
2024-09-21,17:07:11,461,15
2024-09-21,17:07:18,452,16
2024-09-21,17:07:28,452,16
2024-09-21,17:07:38,467,16
2024-09-21,17:07:48,455,16
2024-09-21,17:07:58,435,16
2024-09-21,17:08:14,433,15
2024-09-21,17:08:22,430,15
2024-09-21,17:08:32,450,15
2024-09-21,17:08:42,448,16
2024-09-21,17:08:52,430,16
2024-09-21,17:09:02,442,16
2024-09-21,17:09:17,438,16
2024-09-21,17:09:25,417,16
2024-09-21,17:09:35,436,16
2024-09-21,17:09:45,421,16
2024-09-21,17:09:57,432,15
2024-09-21,17:10:05,431,16
2024-09-21,17:10:23,418,15
2024-09-21,17:12:40,419,15
2024-09-21,17:12:42,415,16
2024-09-21,17:12:52,420,15
2024-09-21,17:13:02,407,16
2024-09-21,17:14:27,397,15
2024-09-21,17:14:33,398,15
2024-09-21,17:14:46,406,15
2024-09-21,17:14:54,405,15
2024-09-21,17:15:03,397,15
2024-09-21,17:15:13,398,16
2024-09-21,17:15:23,389,16
2024-09-21,17:15:33,372,16
2024-09-21,17:15:43,385,16
2024-09-21,17:15:53,387,16
2024-09-21,17:16:03,384,16
2024-09-21,17:16:13,406,15
2024-09-21,17:16:23,380,15
2024-09-21,17:16:33,379,16
2024-09-21,17:16:43,384,15
2024-09-21,17:16:53,384,15
2024-09-21,17:17:03,365,16
2024-09-21,17:17:13,359,15
2024-09-21,17:17:23,377,15
2024-09-21,17:17:33,360,16
2024-09-21,17:17:43,362,15
2024-09-21,17:17:53,363,15
2024-09-21,17:18:03,355,15
2024-09-21,17:18:13,390,15
2024-09-21,17:18:23,389,16
2024-09-21,17:18:33,385,15
2024-09-21,17:18:43,386,16
2024-09-21,17:18:53,385,15
2024-09-21,17:19:03,383,16
2024-09-21,17:19:13,381,15
2024-09-21,17:19:23,381,16
2024-09-21,17:19:33,380,16
2024-09-21,17:19:43,382,15
2024-09-21,17:19:53,375,16
2024-09-21,17:20:03,373,15
2024-09-21,17:20:13,373,15
2024-09-21,17:20:23,369,16
2024-09-21,17:20:33,365,16
2024-09-21,17:20:43,364,14
2024-09-21,17:20:53,361,15
2024-09-21,17:21:03,361,15
2024-09-21,17:21:13,363,15
2024-09-21,17:21:23,367,16
2024-09-21,17:21:33,351,15
2024-09-21,17:21:43,356,15
2024-09-21,17:21:53,352,16
2024-09-21,17:22:03,345,16
2024-09-21,17:22:13,344,16
2024-09-21,17:22:23,346,16
2024-09-21,17:22:33,345,15
2024-09-21,17:22:43,337,16
2024-09-21,17:22:53,336,16
2024-09-21,17:23:03,333,16
2024-09-21,17:23:13,331,16
2024-09-21,17:23:23,326,16
2024-09-21,17:23:33,331,16
2024-09-21,17:23:43,325,15
2024-09-21,17:23:53,321,14
2024-09-21,17:24:03,324,15
2024-09-21,17:24:13,316,16
2024-09-21,17:24:23,318,16
2024-09-21,17:24:33,315,14
2024-09-21,17:24:43,310,15
2024-09-21,17:24:53,307,16
2024-09-21,17:25:03,304,15
2024-09-21,17:25:13,309,15
2024-09-21,17:25:23,302,16
2024-09-21,17:25:33,299,14
2024-09-21,17:25:43,297,16
2024-09-21,17:25:53,294,16
2024-09-21,17:26:03,292,15
2024-09-21,17:26:13,290,16
2024-09-21,17:26:23,291,15
2024-09-21,17:26:33,282,15
2024-09-21,17:26:43,282,15
2024-09-21,17:26:53,283,16
2024-09-21,17:27:03,279,15
2024-09-21,17:27:13,276,15
2024-09-21,17:27:23,277,15
2024-09-21,17:27:33,277,15
