Data,Hora,Valor_LDR,Valor_Umidade
2024-09-24,00:00:03,50,690
2024-09-24,00:00:13,50,690
2024-09-24,00:00:23,50,690
2024-09-24,00:00:33,54,690
2024-09-24,00:00:43,50,690
2024-09-24,00:00:53,55,690
2024-09-24,00:01:03,50,690
2024-09-24,00:01:13,50,690
2024-09-24,00:01:23,55,690
2024-09-24,00:01:33,51,690
2024-09-24,00:01:43,54,690
2024-09-24,00:01:53,51,690
2024-09-24,00:02:03,50,690
2024-09-24,00:02:13,52,690
2024-09-24,00:02:23,55,690
2024-09-24,00:02:33,51,690
2024-09-24,00:02:43,50,690
2024-09-24,00:02:53,56,690
2024-09-24,00:03:03,50,690
2024-09-24,00:03:13,56,690
2024-09-24,00:03:23,53,690
2024-09-24,00:03:33,51,690
2024-09-24,00:03:43,54,690
2024-09-24,00:03:53,54,690
2024-09-24,00:04:03,51,690
2024-09-24,00:04:13,53,690
2024-09-24,00:04:23,52,690
2024-09-24,00:04:33,53,690
2024-09-24,00:04:43,51,690
2024-09-24,00:04:53,55,690
2024-09-24,00:05:03,56,690
2024-09-24,00:05:13,54,690
2024-09-24,00:05:23,56,690
2024-09-24,00:05:33,51,690
2024-09-24,00:05:43,56,690
2024-09-24,00:05:53,55,690
2024-09-24,00:06:03,53,690
2024-09-24,00:06:13,50,690
2024-09-24,00:06:23,50,690
2024-09-24,00:06:33,52,690
2024-09-24,00:06:43,54,690
2024-09-24,00:06:53,52,690
2024-09-24,00:07:03,50,690
2024-09-24,00:07:13,55,690
2024-09-24,00:07:23,55,690
2024-09-24,00:07:33,50,690
2024-09-24,00:07:43,51,690
2024-09-24,00:07:53,54,690
2024-09-24,00:08:03,55,690
2024-09-24,00:08:13,51,690
2024-09-24,00:08:23,50,690
2024-09-24,00:08:33,53,689
2024-09-24,00:08:43,53,690
2024-09-24,00:08:53,55,690
2024-09-24,00:09:03,50,690
2024-09-24,00:09:13,53,690
2024-09-24,00:09:23,50,690
2024-09-24,00:09:33,51,690
2024-09-24,00:09:43,54,690
2024-09-24,00:09:53,52,690
2024-09-24,00:10:04,54,690
2024-09-24,00:10:14,50,690
2024-09-24,00:10:24,54,690
2024-09-24,00:10:34,54,690
2024-09-24,00:10:44,49,690
2024-09-24,00:10:54,53,689
2024-09-24,00:11:04,50,690
