Data,Hora,Valor_LDR,Valor_Umidade
2024-09-22,11:22:53,764,268
2024-09-22,11:22:59,764,269
2024-09-22,11:23:09,764,269
2024-09-22,11:23:19,764,269
2024-09-22,11:23:29,765,269
2024-09-22,11:23:39,766,269
2024-09-22,11:23:49,766,269
2024-09-22,11:23:59,766,269
2024-09-22,11:24:09,766,269
2024-09-22,11:24:19,767,268
2024-09-22,11:24:29,767,268
2024-09-22,11:24:39,767,268
2024-09-22,11:24:49,767,268
2024-09-22,11:24:59,767,268
2024-09-22,11:25:09,767,267
2024-09-22,11:25:19,768,267
2024-09-22,11:25:29,768,268
2024-09-22,11:25:39,768,268
2024-09-22,11:25:49,766,268
2024-09-22,11:25:59,767,268
2024-09-22,11:26:09,767,268
2024-09-22,11:26:19,767,267
2024-09-22,11:26:29,767,267
2024-09-22,11:26:39,767,268
2024-09-22,11:26:49,767,268
2024-09-22,11:26:59,767,268
2024-09-22,11:27:09,767,268
2024-09-22,11:27:19,767,268
2024-09-22,11:27:29,767,268
2024-09-22,11:27:39,767,268
2024-09-22,11:27:49,768,268
2024-09-22,11:27:59,767,269
2024-09-22,11:28:09,768,268
2024-09-22,11:28:19,768,268
2024-09-22,11:28:29,767,268
2024-09-22,11:30:22,781,254
2024-09-22,11:30:24,781,251
2024-09-22,11:30:34,781,251
2024-09-22,11:30:44,781,250
2024-09-22,11:30:54,335,248
2024-09-22,11:31:04,790,248
2024-09-22,11:31:14,1008,230
2024-09-22,11:31:24,1009,245
2024-09-22,11:31:34,1009,234
2024-09-22,11:31:44,1008,243
2024-09-22,11:31:54,1009,243
2024-09-22,11:32:04,1009,244
2024-09-22,11:32:14,1009,244
2024-09-22,11:32:24,1008,244
2024-09-22,11:32:34,1009,244
2024-09-22,11:32:44,1009,242
2024-09-22,11:32:54,1009,244
2024-09-22,11:33:04,1009,244
2024-09-22,11:33:14,1009,242
2024-09-22,11:33:24,1009,242
2024-09-22,11:33:34,1009,242
2024-09-22,11:33:44,1009,241
2024-09-22,11:33:54,1010,239
2024-09-22,11:34:04,1009,241
2024-09-22,11:34:14,1009,241
2024-09-22,11:34:24,1009,242
2024-09-22,11:34:34,1009,242
2024-09-22,11:34:44,1009,242
2024-09-22,11:34:54,1009,240
2024-09-22,11:35:04,1009,241
2024-09-22,11:35:14,1009,242
2024-09-22,11:35:24,1009,241
2024-09-22,11:35:34,1008,240
2024-09-22,11:35:44,1009,240
2024-09-22,11:35:54,1009,240
2024-09-22,11:36:04,1009,241
2024-09-22,11:36:14,1009,241
2024-09-22,11:36:24,1009,240
2024-09-22,11:36:34,1009,240
2024-09-22,11:36:44,1009,240
2024-09-22,11:36:54,1009,240
2024-09-22,11:37:04,1009,239
2024-09-22,11:37:14,1009,239
2024-09-22,11:37:24,1009,239
2024-09-22,11:37:34,1009,239
2024-09-22,11:37:44,1009,239
2024-09-22,11:37:54,1008,239
2024-09-22,11:38:04,1009,239
2024-09-22,11:38:14,1009,239
2024-09-22,11:38:24,1009,239
2024-09-22,11:38:34,1009,239
2024-09-22,11:38:44,1009,239
2024-09-22,11:38:54,1009,240
2024-09-22,11:39:05,1009,238
2024-09-22,11:39:15,1009,238
2024-09-22,11:39:25,1009,238
2024-09-22,11:39:35,1009,238
2024-09-22,11:39:45,1009,238
2024-09-22,11:39:55,1009,238
2024-09-22,11:40:05,1008,238
2024-09-22,11:40:15,1009,237
2024-09-22,11:40:25,1010,237
2024-09-22,11:40:35,1009,238
2024-09-22,11:40:45,1009,238
2024-09-22,11:40:55,1009,238
2024-09-22,11:41:05,1010,238
2024-09-22,11:41:15,1009,239
2024-09-22,11:41:25,1009,238
2024-09-22,11:41:35,1009,238
2024-09-22,11:41:45,1009,238
2024-09-22,11:41:55,1009,238
2024-09-22,11:42:05,1009,238
2024-09-22,11:42:15,1009,237
2024-09-22,11:42:25,1009,238
2024-09-22,11:42:35,1008,237
2024-09-22,11:42:45,1009,237
2024-09-22,11:42:55,1009,237
2024-09-22,11:43:05,1009,237
2024-09-22,11:43:15,1009,237
2024-09-22,11:43:25,1009,237
2024-09-22,11:43:35,1009,237
2024-09-22,11:43:45,1009,237
2024-09-22,11:43:55,1009,237
2024-09-22,11:44:05,1009,237
2024-09-22,11:44:15,1009,237
2024-09-22,11:44:25,1009,237
2024-09-22,11:44:35,1009,236
2024-09-22,11:44:45,1010,236
2024-09-22,11:44:55,1008,236
2024-09-22,11:45:05,1008,237
2024-09-22,11:45:15,1008,236
2024-09-22,11:45:25,1008,236
2024-09-22,11:45:35,1008,236
2024-09-22,11:45:45,1008,236
2024-09-22,11:45:55,1009,236
2024-09-22,11:46:05,1009,236
2024-09-22,11:46:15,1009,236
2024-09-22,11:46:25,1009,236
2024-09-22,11:46:35,1009,236
2024-09-22,11:46:45,1008,236
2024-09-22,11:46:55,1009,235
